,tgroup,key,value,description,embedding
6675,,office,lawyer,An office for a lawyer.,"tensor([ 0.0175,  0.0042, -0.0132,  ..., -0.0105, -0.0045,  0.0597])"
6677,offices,office,logistics,An office for a company offering logistics.,"tensor([-0.0042,  0.0022, -0.0404,  ...,  0.0118, -0.0376,  0.0163])"
6679,,office,medical,An unspecified medical office - consider more specific tags instead,"tensor([ 0.0195,  0.0069, -0.0331,  ..., -0.0033, -0.0232,  0.0491])"
6680,,office,moving_company,An office which offers a relocation service.,"tensor([ 0.0117,  0.0116, -0.0116,  ...,  0.0356, -0.0212,  0.0410])"
6681,,office,natural_gas_utility,,"tensor([ 0.0016, -0.0100, -0.0156,  ...,  0.0173, -0.0194,  0.0495])"
6682,offices,office,newspaper,An office of a newspaper,"tensor([ 0.0216,  0.0131, -0.0287,  ...,  0.0162, -0.0396,  0.0443])"
6683,offices,office,ngo,"An office for a non-profit, non-governmental organisation (NGO).","tensor([ 0.0102,  0.0188, -0.0511,  ...,  0.0204, -0.0317,  0.0418])"
6684,offices,office,notary,An office for a notary public (common law),"tensor([ 0.0227,  0.0015, -0.0213,  ...,  0.0095, -0.0164,  0.0782])"
6686,religion,office,parish,Consider using the more used office=religion instead.,"tensor([ 0.0050, -0.0093,  0.0104,  ...,  0.0264, -0.0434,  0.0608])"
6687,offices,office,physician,(Sub)tag to describe that a medical office belongs to a physician,"tensor([-0.0037, -0.0015, -0.0096,  ...,  0.0124, -0.0038,  0.0521])"
6688,,office,political_party,An office of a political party,"tensor([ 0.0126, -0.0083, -0.0331,  ...,  0.0148, -0.0522,  0.0666])"
6690,,office,private_investigator,An office of a private investigator,"tensor([-0.0016,  0.0058, -0.0158,  ...,  0.0088, -0.0212,  0.0589])"
6691,,office,property_management,Office of a property rental company for residential apartments or commercial office space or any other property.,"tensor([ 0.0053,  0.0234, -0.0456,  ...,  0.0048, -0.0368,  0.0321])"
6692,,office,publisher,An office of a publisher.,"tensor([ 0.0091, -0.0093, -0.0250,  ...,  0.0232, -0.0180,  0.0706])"
6698,,office,religion,An office of a community of faith.,"tensor([ 0.0078,  0.0107, -0.0323,  ...,  0.0089, -0.0242,  0.0518])"
6699,offices,office,rental,An office that rents different kinds vehicles or (sport) equipment.,"tensor([-0.0109,  0.0121, -0.0203,  ...,  0.0013, -0.0152,  0.0421])"
6700,offices,office,research,An office for research and development,"tensor([-0.0128, -0.0047,  0.0030,  ...,  0.0539, -0.0428,  0.0563])"
6701,education,office,school,An office for a certain subdomain of a school.,"tensor([ 0.0431, -0.0057,  0.0164,  ...,  0.0376, -0.0368,  0.0493])"
6702,,office,security,An office for private security guards,"tensor([ 0.0111,  0.0013, -0.0251,  ...,  0.0069, -0.0287,  0.0465])"
6704,,office,surveyor,"An office of a person doing technical surveys, such as land surveys or risk and damage evaluations of properties and equipment.","tensor([ 0.0236,  0.0287, -0.0041,  ...,  0.0283, -0.0047,  0.0593])"
6706,,office,tax_advisor,An office for a financial expert specially trained in tax law,"tensor([ 0.0111,  0.0172, -0.0109,  ...,  0.0133, -0.0238,  0.0297])"
6707,,office,telecommunication,An office for a telecommunication company.,"tensor([ 0.0076,  0.0179, -0.0263,  ...,  0.0169, -0.0524,  0.0401])"
6708,offices,office,therapist,An office of a therapist.,"tensor([ 0.0157,  0.0285, -0.0069,  ...,  0.0210, -0.0380,  0.0530])"
6710,,office,translator,An office of a translator.,"tensor([ 0.0171,  0.0266, -0.0237,  ..., -0.0005, -0.0151,  0.0834])"
6711,offices,office,transport,An office of a freight forwarder or transport company.,"tensor([ 0.0060,  0.0125, -0.0105,  ...,  0.0161, -0.0482,  0.0453])"
6712,offices,office,travel_agent,An office of a travel agent.,"tensor([ 0.0034,  0.0035, -0.0057,  ...,  0.0123, -0.0258,  0.0542])"
6713,offices,office,tutoring,An office of tutor or tutoring centre.,"tensor([ 0.0289,  0.0164, -0.0090,  ...,  0.0206, -0.0095,  0.0330])"
6714,,office,union,"An office of a trade union, an association of workers forming a bargaining unit","tensor([-0.0044, -0.0135, -0.0041,  ...,  0.0055, -0.0417,  0.0772])"
6715,education,office,university,"An office providing services to university students or staff, or the office of a department / faculty in a university","tensor([ 0.0314,  0.0117,  0.0075,  ...,  0.0219, -0.0342,  0.0218])"
6716,offices,office,visa,An office of an organisation or business which offers visa assistance.,"tensor([ 0.0013,  0.0037, -0.0024,  ...,  0.0259, -0.0562,  0.0382])"
6717,,office,water_utility,The office for a water utility company or water board.,"tensor([ 0.0290, -0.0071, -0.0204,  ...,  0.0116, -0.0292,  0.0534])"
6718,offices,office,wedding_planner,An office of a wedding planner,"tensor([ 0.0433,  0.0370, -0.0100,  ..., -0.0081, -0.0163,  0.0261])"
6719,,office,yes,Generic tag for unspecified office type.,"tensor([-0.0012,  0.0007, -0.0013,  ...,  0.0242, -0.0329,  0.0619])"
6721,restrictions,oneway:bicycle,-1,"The street is a oneway street in the opposite direction of the OSM way, for cyclists","tensor([ 0.0318, -0.0125,  0.0244,  ...,  0.0236, -0.0494,  0.0853])"
6722,,oneway:bicycle,yes,"Explicitly specifies that road is oneway for cyclists, generally not needed and oneway=yes is sufficient","tensor([ 0.0391, -0.0270,  0.0155,  ...,  0.0137, -0.0508,  0.0653])"
6723,,oneway:bus,no,Defines that road is not oneway for buses,"tensor([ 0.0470, -0.0494,  0.0002,  ...,  0.0062, -0.0211,  0.0533])"
6726,,oneway:psv,no,Defines that road is not oneway for Public Service Vehicles,"tensor([ 0.0533, -0.0567, -0.0094,  ...,  0.0213, -0.0538,  0.0317])"
6727,restrictions,oneway,-1,The street is a oneway street in the opposite direction of the OSM way.,"tensor([ 0.0314, -0.0139,  0.0238,  ...,  0.0175, -0.0328,  0.0754])"
6728,restrictions,oneway,alternating,Oneway that changes its direction often,"tensor([ 0.0297,  0.0143,  0.0046,  ..., -0.0009, -0.0640,  0.0699])"
6729,restrictions,oneway,reversible,Oneway that changes its direction infrequently,"tensor([ 0.0292,  0.0063,  0.0033,  ...,  0.0160, -0.0725,  0.0531])"
6730,restrictions,oneway,yes,One-way traffic in the direction indicated on the map.,"tensor([ 0.0515, -0.0214,  0.0309,  ...,  0.0048, -0.0432,  0.0695])"
6731,properties,opening_hours:signed,no,There is no posted opening hours information,"tensor([ 0.0142,  0.0134, -0.0283,  ...,  0.0104, -0.0334,  0.0320])"
6732,properties,opening_hours,closed,used for something which is temporarily or permanently closed,"tensor([ 0.0135,  0.0114, -0.0025,  ...,  0.0231, -0.0256,  0.0389])"
6733,,operational_status,closed,,"tensor([-0.0298, -0.0186, -0.0234,  ...,  0.0099, -0.0275,  0.0393])"
6760,,operator,independent,"Exact details of the operator are not known, other than that they are a small independent firm","tensor([ 0.0086,  0.0086, -0.0104,  ...,  0.0195, -0.0026,  0.0541])"
6763,properties,outdoor_seating,patio,Outdoor seating on a terrace.,"tensor([ 0.0197, -0.0017, -0.0032,  ...,  0.0114, -0.0350,  0.0546])"
6764,properties,outdoor_seating,terrace,Outdoor seating on a terrace.,"tensor([ 0.0266,  0.0001, -0.0089,  ...,  0.0107, -0.0302,  0.0473])"
6766,,outlet,direct,"A duct, tunnel or pipeline directly releases its fluid downstream without control or particular equipment","tensor([ 0.0290, -0.0049, -0.0142,  ...,  0.0266, -0.0219,  0.0604])"
6773,,ownership,private,Describes object as privately owned.,"tensor([ 0.0073,  0.0116, -0.0127,  ...,  0.0157, -0.0028,  0.0334])"
6775,parking,parking:both,lane,Parking on the street (which could be easily converted to a travel lane).,"tensor([ 0.0333,  0.0095, -0.0065,  ...,  0.0284, -0.0568,  0.0545])"
6776,parking,parking:both,no,No parking on both sides of the road,"tensor([ 0.0351,  0.0161, -0.0005,  ...,  0.0233, -0.0269,  0.0656])"
6778,parking,parking:left,lane,Parking on the street (which could be easily converted to a travel lane).,"tensor([ 2.2083e-02, -5.7694e-06, -6.7940e-03,  ...,  1.7875e-02,
        -6.2685e-02,  6.2391e-02])"
6779,parking,parking:right,lane,Parking on the street (which could be easily converted to a travel lane).,"tensor([ 0.0123,  0.0044, -0.0069,  ...,  0.0236, -0.0665,  0.0568])"
6780,parking,parking,lane,"Parking on the carriageway, including partially on it.","tensor([-0.0006,  0.0087,  0.0211,  ...,  0.0032, -0.0546,  0.0821])"
6781,parking,parking,layby,"Parking at a rest area, alongside a road. There is usually no physical barrier between the road and the layby. If there is then consider using rest-area.","tensor([-0.0053,  0.0022,  0.0269,  ...,  0.0007, -0.0609,  0.0748])"
6782,parking,parking,multi-storey,Multistorey car park.,"tensor([ 0.0257,  0.0250, -0.0068,  ..., -0.0018, -0.0202,  0.0769])"
6783,parking,parking,on_kerb,Area suitable or designated for parking on the sidewalk.,"tensor([ 0.0153,  0.0128,  0.0005,  ...,  0.0121, -0.0317,  0.0919])"
6784,parking,parking,rooftop,One level of a parking deck on top of the building.,"tensor([ 0.0301,  0.0191, -0.0035,  ...,  0.0074, -0.0262,  0.0733])"
6785,parking,parking,street_side,Area suitable or designated for parking which is directly adjacent to the carriageway of a road and can be reached directly from the roadway without having to use an access way.,"tensor([ 0.0182, -0.0042, -0.0151,  ...,  0.0145, -0.0527,  0.0816])"
6786,parking,parking,surface,A dedicated area for parking consisting of one level of parking on the ground.,"tensor([ 0.0237,  0.0142,  0.0049,  ...,  0.0194, -0.0321,  0.1010])"
6787,parking,parking,underground,Underground car park,"tensor([ 0.0181,  0.0161, -0.0076,  ...,  0.0113, -0.0324,  0.0901])"
6788,parking,parking_space,charging,"A parking space exclusively for charging electric vehicles, usually within or near to an amenity=charging_station","tensor([ 0.0088, -0.0254,  0.0092,  ...,  0.0073, -0.0493,  0.0695])"
6789,parking,parking_space,disabled,A parking space specifically designated for use by people with disabilities.,"tensor([ 0.0028,  0.0143,  0.0097,  ...,  0.0366, -0.0544,  0.0755])"
6790,,parking_space,pickup,,"tensor([-0.0146, -0.0191, -0.0023,  ...,  0.0196, -0.0576,  0.0646])"
6794,,passenger,no,Used to mark a railway route that has no passenger traffic.,"tensor([ 0.0106, -0.0209, -0.0239,  ...,  0.0158, -0.0575,  0.0725])"
6799,highways,path,desire,,"tensor([-0.0083, -0.0326, -0.0179,  ...,  0.0041, -0.0324,  0.0650])"
6800,highways,path,sidewalk,Sidewalks as separate ways,"tensor([ 0.0157, -0.0329, -0.0055,  ...,  0.0384, -0.0696,  0.0645])"
6801,highways,path,trail,A trail,"tensor([ 0.0002, -0.0053, -0.0137,  ...,  0.0273, -0.0681,  0.0554])"
6804,,pipeline,marker,,"tensor([-0.0010, -0.0072, -0.0494,  ..., -0.0004, -0.0371,  0.0475])"
6805,,pipeline,substation,Facilities required for pipeline operation,"tensor([-0.0099, -0.0240, -0.0516,  ..., -0.0062, -0.0858,  0.0372])"
6806,,pipeline,surge_tank,A tank designed to absorb water hammer power in a pipeline on valve closing or emergency stops,"tensor([ 0.0409,  0.0223, -0.0301,  ...,  0.0116, -0.0387,  0.0511])"
6807,pipelines,pipeline,valve,Domestic or industrial valves used to control the flow within pipelines,"tensor([ 2.1567e-02, -2.0139e-02, -1.6592e-05,  ...,  4.8840e-03,
        -4.9103e-02,  2.8794e-02])"
6809,,piste:type,connection,"Ways that connect ski lifts with each other, to be used for any type of ski lift users","tensor([ 0.0381, -0.0285,  0.0109,  ..., -0.0084, -0.0635,  0.0646])"
6810,,piste:type,downhill,Used to define a ski run as downhill.,"tensor([ 0.0445, -0.0393, -0.0189,  ...,  0.0087, -0.0620,  0.0763])"
6812,,piste:type,hike,A winter-hiking or snowshoeing trail,"tensor([ 0.0268,  0.0002, -0.0262,  ...,  0.0103, -0.0784,  0.0664])"
6813,,piste:type,nordic,A nordic ski trail,"tensor([ 0.0318, -0.0228, -0.0252,  ...,  0.0093, -0.0660,  0.0710])"
6816,,piste:type,skitour,,"tensor([ 0.0440, -0.0264, -0.0073,  ...,  0.0065, -0.0664,  0.0677])"
6817,sports,piste:type,sled,Added on sledding pistes.,"tensor([ 0.0379, -0.0426, -0.0128,  ...,  0.0151, -0.0776,  0.0606])"
6822,,place,city,The largest urban settlement or settlements within the territory.,"tensor([ 0.0101,  0.0255, -0.0014,  ...,  0.0136, -0.0296,  0.0265])"
6823,places,place,city_block,"A named city block, usually surrounded by streets.","tensor([ 0.0248,  0.0213, -0.0210,  ...,  0.0450, -0.0004,  0.0504])"
6826,places,place,county,A county - a geographical region of a country.,"tensor([ 0.0333,  0.0063, -0.0158,  ...,  0.0123, -0.0551,  0.0563])"
6827,places,place,district,"A district - a type of administrative division that, in some countries, is managed by local government.","tensor([ 0.0193,  0.0055, -0.0120,  ...,  0.0317, -0.0429,  0.0431])"
6828,,place,farm,An individually named farm.,"tensor([ 0.0127,  0.0206, -0.0428,  ...,  0.0048, -0.0375,  0.0406])"
6829,,place,hamlet,"A smaller rural community, typically with fewer than 100-1000 inhabitants, and little infrastructure.","tensor([-0.0042,  0.0369,  0.0141,  ..., -0.0027, -0.0335,  0.0602])"
6830,,place,island,Any piece of land that is completely surrounded by water and isolated from other significant landmasses.,"tensor([-0.0017,  0.0340, -0.0234,  ..., -0.0027, -0.0483,  0.0362])"
6831,,place,islet,A very small island.,"tensor([ 8.8526e-05,  4.0046e-02, -3.3358e-02,  ...,  1.0861e-02,
        -2.1129e-02,  6.6261e-02])"
6832,,place,isolated_dwelling,The smallest kind of settlement (1-2 households).,"tensor([ 0.0020,  0.0337,  0.0050,  ...,  0.0316, -0.0420,  0.0611])"
6833,,place,locality,A named place that has no population.,"tensor([ 0.0144, -0.0038, -0.0193,  ...,  0.0258, -0.0303,  0.0690])"
6835,,place,neighbourhood,"A neighbourhood is a smaller named, geographically localised place within a suburb of a larger city or within a town or village","tensor([ 0.0164,  0.0113, -0.0313,  ...,  0.0245, -0.0191,  0.0373])"
6837,,place,plot,A named plot is a tract or parcel of land owned or meant to be owned by some owner.,"tensor([ 0.0038,  0.0174, -0.0443,  ..., -0.0141, -0.0232,  0.0796])"
6840,,place,quarter,"A quarter is a named, geographically localised place within a suburb of a larger city or within a town which is bigger than a neighbourhood","tensor([ 0.0070,  0.0051, -0.0565,  ...,  0.0159, -0.0208,  0.0492])"
6841,places,place,region,Used both as a broad tag for geographic or historical areas with no clear boundary and for distinct administration areas (with specific boundaries) in some countries.,"tensor([ 0.0115, -0.0006, -0.0010,  ...,  0.0182, -0.0661,  0.0577])"
6843,,place,square,"A town or village square: a (typically) paved open space, generally of architectural significance, which is surrounded by buildings in a built-up area such as a city, town or village.","tensor([ 0.0089,  0.0267, -0.0470,  ...,  0.0184, -0.0360,  0.0511])"
6844,places,place,state,A large sub-national political/administrative area.,"tensor([ 0.0054,  0.0352, -0.0139,  ...,  0.0126, -0.0521,  0.0532])"
6847,,place,suburb,A part of a town or city with a well-known name and often a distinct identity.,"tensor([ 0.0129,  0.0242, -0.0245,  ...,  0.0111, -0.0244,  0.0546])"
6848,,place,town,"An important urban centre, between a village and a city in size.","tensor([ 0.0174,  0.0334, -0.0126,  ...,  0.0260, -0.0327,  0.0392])"
6849,,place,village,"A smaller distinct settlement, smaller than a town with few facilities available with people traveling to nearby towns to access these.","tensor([ 0.0133,  0.0191, -0.0271,  ...,  0.0109, -0.0475,  0.0212])"
6854,religion,place_of_worship,musalla,"Islamic place of worship specifically designated for the five daily prayers of Islam. However, unlike mosques, musallas do not conduct the weekly congregational Friday prayer (Jumu'ah)","tensor([ 0.0053,  0.0233, -0.0403,  ...,  0.0050, -0.0382,  0.0448])"
6857,,placement,right_of:1,Used to indicate that the OSM-way runs parallel to the lanes of the road and is drawn at the right side of the first lane.,"tensor([ 0.0366, -0.0355, -0.0036,  ...,  0.0253, -0.0300,  0.0868])"
6858,,placement,transition,Used to indicate that the OSM-way is neither in the middle of the whole road nor does it run parallel to some lane.,"tensor([ 0.0414, -0.0261, -0.0190,  ...,  0.0232, -0.0536,  0.0754])"
6861,,plant:method,combustion,Combustion,"tensor([-0.0035,  0.0343, -0.0417,  ..., -0.0192, -0.0498,  0.0559])"
6862,power,plant:method,fission,An induced fission reaction.,"tensor([ 0.0024,  0.0313, -0.0015,  ...,  0.0112, -0.0341,  0.0645])"
6865,,plant:method,photovoltaic,Specifies the method of a solar field as photovoltaic,"tensor([-0.0025,  0.0078, -0.0177,  ...,  0.0093, -0.0101,  0.0536])"
6866,,plant:method,run-of-the-river,Run-of-the-river hydroelectricity is a type of hydroelectric generation whereby little or no water storage is provided.,"tensor([-0.0088,  0.0396,  0.0261,  ..., -0.0178, -0.0586,  0.0519])"
6868,,plant:method,thermal,Specifies the method of a solar field as thermal,"tensor([ 0.0179,  0.0154, -0.0216,  ...,  0.0167, -0.0220,  0.0639])"
6870,,plant:method,water-storage,Power plant producing electricity with turbines fed by water coming from a lake behind a dam,"tensor([ 0.0083,  0.0326, -0.0078,  ..., -0.0248, -0.0484,  0.0435])"
6872,power,plant:source,battery,Battery storage plant,"tensor([ 0.0176,  0.0061, -0.0071,  ...,  0.0033, -0.0484,  0.0519])"
6873,power,plant:source,biogas,Biogas power plant,"tensor([ 0.0303, -0.0040, -0.0296,  ..., -0.0387, -0.0541,  0.0606])"
6874,,plant:source,biomass,"Biomass power plant, biogas plant","tensor([ 0.0161,  0.0066, -0.0305,  ..., -0.0302, -0.0640,  0.0433])"
6875,,plant:source,coal,Coal-fired power station,"tensor([ 0.0375,  0.0143, -0.0301,  ..., -0.0061, -0.0659,  0.0494])"
6878,,plant:source,gas,Gas-fired power station,"tensor([ 0.0237, -0.0022, -0.0317,  ..., -0.0272, -0.0608,  0.0604])"
6880,,plant:source,hydro,Hydroelectric power station,"tensor([ 0.0122,  0.0094, -0.0083,  ..., -0.0448, -0.0631,  0.0650])"
6881,,plant:source,nuclear,Nuclear power plant,"tensor([ 0.0173,  0.0072, -0.0417,  ..., -0.0108, -0.0465,  0.0459])"
6882,,plant:source,oil,Oil-fired power plant,"tensor([ 0.0238, -0.0004, -0.0339,  ..., -0.0147, -0.0550,  0.0562])"
6883,,plant:source,solar,Solar power plant,"tensor([ 0.0125,  0.0059, -0.0494,  ..., -0.0089, -0.0381,  0.0659])"
6885,,plant:source,waste,Waste incineration plants,"tensor([ 0.0352,  0.0268, -0.0274,  ..., -0.0248, -0.0826,  0.0340])"
6888,power,plant:type,combined_cycle,Combined cycle power plant,"tensor([ 0.0036,  0.0173, -0.0213,  ..., -0.0208, -0.0763,  0.0498])"
6889,power,plant:type,gas_turbine,Gas turbine power plant,"tensor([-0.0210, -0.0079, -0.0192,  ..., -0.0115, -0.0599,  0.0591])"
6890,power,plant:type,lithium_ion,Battery storage power plant using lithium-ion battery chemistry,"tensor([ 0.0113, -0.0062, -0.0194,  ...,  0.0061, -0.0416,  0.0658])"
6893,,playground,balancebeam,"Balance beam in playground shape, often close to the ground.","tensor([ 0.0309, -0.0125, -0.0093,  ...,  0.0170, -0.0350,  0.0539])"
6894,leisure,playground,bridge,A bridge on a playground for children to play on.,"tensor([ 0.0153,  0.0013, -0.0189,  ...,  0.0219, -0.0318,  0.0612])"
6895,,playground,climbingframe,Climbing frame.,"tensor([ 0.0218,  0.0106, -0.0307,  ...,  0.0279, -0.0335,  0.0703])"
6896,,playground,climbingwall,A small wall used to climbing.,"tensor([ 0.0223,  0.0177, -0.0354,  ...,  0.0287, -0.0210,  0.0653])"
6898,leisure,playground,funnel_ball,Funnel ball is a game usually found on school playgrounds,"tensor([ 0.0227, -0.0092,  0.0075,  ...,  0.0061, -0.0249,  0.0604])"
6899,,playground,hopscotch,hopscotch court,"tensor([ 0.0106,  0.0064, -0.0068,  ...,  0.0038, -0.0292,  0.0708])"
6900,,playground,horizontal_bar,Horizontal bar or high bar as found on playgrounds.,"tensor([ 0.0429, -0.0130, -0.0067,  ...,  0.0114, -0.0167,  0.0676])"
6901,leisure,playground,map,A map painted on a paved surface at a playground or school to teach geography to children,"tensor([ 0.0220,  0.0098, -0.0116,  ...,  0.0102, -0.0295,  0.0694])"
6902,,playground,playhouse,Small house on playground.,"tensor([ 0.0201,  0.0086, -0.0225,  ...,  0.0067, -0.0224,  0.0681])"
6903,,playground,sandpit,"Sandbox, container or shallow depression filled with soft sand.","tensor([ 0.0093,  0.0211, -0.0552,  ...,  0.0243, -0.0338,  0.0916])"
6904,,playground,sledding,small sledding hill,"tensor([ 0.0299,  0.0034, -0.0221,  ...,  0.0237, -0.0490,  0.0448])"
6905,,playground,slide,A slide for children to play on in playgrounds.,"tensor([ 0.0389,  0.0012, -0.0408,  ...,  0.0429, -0.0462,  0.0800])"
6906,,playground,structure,"Complex installation of connected playground devices comprising platforms, towers, bridges, to which further climbing/slide/swing devices can be attached to.","tensor([ 0.0093,  0.0191, -0.0439,  ...,  0.0215, -0.0295,  0.0510])"
6907,,playground,teenshelter,A small play shelter.,"tensor([ 0.0099,  0.0293, -0.0361,  ...,  0.0319, -0.0324,  0.0474])"
6908,,playground,trampoline,A trampoline for children to play on in playgrounds.,"tensor([ 0.0315,  0.0146, -0.0266,  ...,  0.0337, -0.0372,  0.0459])"
6909,leisure,playground,tunnel_tube,A tunnel for kids to crawl through.,"tensor([ 0.0198,  0.0125, -0.0249,  ...,  0.0212, -0.0333,  0.0813])"
6911,,playground,zipwire,A cable way on which children can play in playgrounds.,"tensor([ 0.0424, -0.0099, -0.0012,  ...,  0.0194, -0.0514,  0.0744])"
6913,police,police,academy,Police academy.,"tensor([ 0.0099,  0.0078,  0.0133,  ...,  0.0121, -0.0304,  0.0607])"
6915,police,police,car_pound,An area where vehicles impounded by the police are stored.,"tensor([-0.0125,  0.0351, -0.0187,  ...,  0.0075, -0.0318,  0.0602])"
6917,police,police,checkpoint,Temporary or permanent checkpoint by the police.,"tensor([-0.0080,  0.0284,  0.0031,  ...,  0.0012, -0.0352,  0.0576])"
6919,police,police,helicopter_unit,Police helicopter unit,"tensor([ 0.0037, -0.0436, -0.0083,  ..., -0.0168, -0.0519,  0.0341])"
6921,police,police,offices,Police offices that do not serve as immediate points of contact for the public.,"tensor([-0.0063, -0.0015, -0.0088,  ...,  0.0247, -0.0526,  0.0421])"
6922,police,police,range,A shooting range used for police training.,"tensor([-0.0212,  0.0190, -0.0055,  ..., -0.0040, -0.0460,  0.0392])"
6925,police,police,yes,Any police building whose specific use cannot be determined.,"tensor([-0.0015, -0.0061, -0.0013,  ...,  0.0059, -0.0595,  0.0544])"
6935,amenities,post_office,post_partner,A business that acts as a relay point for some postal service(s).,"tensor([ 0.0020, -0.0199, -0.0197,  ...,  0.0213, -0.0447,  0.0436])"
6938,power,power,cable,"An insulated cable carrying electrical power, such as transmission or distribution cables located underground and undersea cables","tensor([ 0.0166,  0.0158, -0.0019,  ...,  0.0197, -0.0479,  0.0552])"
6939,,power,cable_distribution_cabinet,,"tensor([-0.0023, -0.0035, -0.0080,  ...,  0.0269, -0.0388,  0.0510])"
6940,power,power,catenary_mast,A pole supporting the overhead wires used to supply electricity to vehicles equipped with a pantograph such as trams and trains,"tensor([ 0.0169,  0.0154, -0.0099,  ...,  0.0191, -0.0419,  0.0404])"
6942,,power,compensator,A static power device used to ensure power quality and electrical network resilience.,"tensor([ 0.0135, -0.0058, -0.0417,  ..., -0.0129, -0.0452,  0.0239])"
6943,power,power,connection,A free-standing electrical connection between two or more overhead wires,"tensor([ 0.0135, -0.0139,  0.0135,  ...,  0.0271, -0.0295,  0.0556])"
6944,,power,converter,"A device to convert power between alternating and direct current electrical power: often, but not only, over high voltage networks","tensor([ 0.0105, -0.0145, -0.0053,  ..., -0.0233, -0.0498,  0.0406])"
6945,power,power,generator,"A device which converts one form of energy to another, for example, an electrical generator.","tensor([ 0.0099, -0.0188, -0.0131,  ..., -0.0387, -0.0477,  0.0543])"
6947,power,power,insulator,An electrical insulator which connects a power line to a support structure and prevents grounding.,"tensor([ 0.0352, -0.0281, -0.0123,  ...,  0.0204, -0.0594,  0.0342])"
6948,power,power,line,"High-voltage power lines used for power transmission, usually supported by towers or pylons","tensor([ 0.0043, -0.0202, -0.0006,  ...,  0.0054, -0.0573,  0.0418])"
6950,power,power,minor_line,"Minor power lines forming the distribution grid, usually carried by poles.","tensor([ 0.0049, -0.0122,  0.0277,  ...,  0.0097, -0.0379,  0.0559])"
6951,,power,outlet,Electric sockets.,"tensor([ 0.0136, -0.0117,  0.0058,  ...,  0.0317, -0.0167,  0.0360])"
6952,power,power,plant,"An industrial facility where power (electricity, useful heat, biogas) is produced by individual power generator units.","tensor([-0.0079, -0.0031, -0.0260,  ..., -0.0089, -0.0569,  0.0383])"
6953,,power,pole,"A single pole supporting power lines, often a wood, steel, or concrete mast designed to carry minor power lines.","tensor([ 0.0211,  0.0134, -0.0223,  ...,  0.0380, -0.0466,  0.0552])"
6954,,power,portal,"A supporting structure for power lines, composed of vertical legs with cables between them attached to a horizontal crossarm.","tensor([ 0.0029,  0.0314, -0.0319,  ...,  0.0015, -0.0417,  0.0497])"
6957,power,power,substation,"A facility which controls the flow of electricity in a power network with transformers, switchgear or compensators.","tensor([ 0.0072, -0.0050, -0.0282,  ...,  0.0015, -0.0768,  0.0455])"
6958,power,power,switch,A device which allows electrical network operators to power up & down lines and transformers in substations or along the power grid.,"tensor([-0.0004, -0.0093, -0.0120,  ...,  0.0211, -0.0486,  0.0387])"
6959,power,power,switchgear,"A switchgear, which comprises one or more busbar assemblies and a number of bays each connecting a circuit to the busbar assembly.","tensor([ 0.0273, -0.0186, -0.0145,  ...,  0.0185, -0.0504,  0.0193])"
6960,,power,terminal,"A point of connection where an overhead power line ends on a building or wall; for example, when connecting it to an indoor substation.","tensor([ 0.0126, -0.0004, -0.0235,  ...,  0.0191, -0.0504,  0.0416])"
6961,,power,tower,A tower or pylon carrying high voltage electricity cables. Often constructed from steel latticework but tubular or solid pylons are also used.,"tensor([ 0.0067,  0.0225, -0.0186,  ...,  0.0061, -0.0444,  0.0453])"
6962,power,power,transformer,A device for stepping up or down electric voltage. Large power transformers are typically located inside substations,"tensor([ 0.0073, -0.0078, -0.0090,  ..., -0.0070, -0.0657,  0.0506])"
6965,restrictions,private,employees,Access for employees only.,"tensor([-0.0046, -0.0196,  0.0205,  ...,  0.0347, -0.0342,  0.0612])"
6967,restrictions,private,members,Access for members only.,"tensor([-0.0132, -0.0252,  0.0177,  ...,  0.0132, -0.0492,  0.0348])"
6968,restrictions,private,residents,Access for residents only.,"tensor([-0.0032,  0.0217,  0.0136,  ...,  0.0123, -0.0457,  0.0229])"
6970,restrictions,private,yes,A possible mistagging of access=private or ownership=private.,"tensor([ 0.0204,  0.0172,  0.0107,  ...,  0.0118, -0.0411,  0.0278])"
6972,industrial,product,beer,For breweries that produce beer in large quantities.,"tensor([ 0.0484, -0.0034,  0.0186,  ...,  0.0257, -0.0252,  0.0669])"
6974,industrial,product,concrete,Concrete plant,"tensor([-0.0107,  0.0255, -0.0325,  ..., -0.0198, -0.0241,  0.0530])"
6975,industrial,product,electronics,Electronics factory,"tensor([ 0.0175, -0.0293,  0.0073,  ...,  0.0052, -0.0322,  0.0460])"
6976,industrial,product,food,For factories that produce food.,"tensor([ 0.0352, -0.0147, -0.0136,  ...,  0.0247, -0.0320,  0.0495])"
6977,industrial,product,furniture,For factories that produce furniture,"tensor([ 0.0198, -0.0223, -0.0056,  ...,  0.0410, -0.0240,  0.0579])"
6978,industrial,product,machinery,place where machines are manufactured,"tensor([ 0.0139, -0.0065, -0.0129,  ..., -0.0044, -0.0413,  0.0235])"
6980,industrial,product,packaging,Industrial facility that produces packaging,"tensor([ 0.0194, -0.0196, -0.0055,  ..., -0.0006, -0.0405,  0.0202])"
6981,industrial,product,rice,A place where paddy or rough rice is transformed to white rice,"tensor([ 0.0100,  0.0136, -0.0492,  ...,  0.0006, -0.0565,  0.0602])"
